route,Departure Airport,Arrival Airport,Combined
SIN/DAC,SIN,DAC,SIN/DAC
SIN/CGO,SIN,CGO,SIN/CGO
SIN/TRZ,SIN,TRZ,SIN/TRZ
SIN/CKG,SIN,CKG,SIN/CKG
SIN/NKG,SIN,NKG,SIN/NKG
SIN/TSN,SIN,TSN,SIN/TSN
DAC/SIN,DAC,SIN,DAC/SIN
SIN/SZX,SIN,SZX,SIN/SZX
DAC/CCU/SIN,DAC,CCU,DAC/CCU
DAC/CCU/SIN,CCU,SIN,CCU/SIN
SIN/CCU/DAC,SIN,CCU,SIN/CCU
SIN/CCU/DAC,CCU,DAC,CCU/DAC
SIN/RGN,SIN,RGN,SIN/RGN
SIN/XMN,SIN,XMN,SIN/XMN
SIN/TAO,SIN,TAO,SIN/TAO
SIN/FOC,SIN,FOC,SIN/FOC
SIN/PVG,SIN,PVG,SIN/PVG
SIN/XMN/SIN,XMN,SIN,XMN/SIN
SIN/HDY/SIN,SIN,HDY,SIN/HDY
SIN/HDY/SIN,HDY,SIN,HDY/SIN
SIN/CAN,SIN,CAN,SIN/CAN
SIN/SHE/SIN,SIN,SHE,SIN/SHE
SIN/SHE/SIN,SHE,SIN,SHE/SIN
SIN/NKG/SIN,NKG,SIN,NKG/SIN
SIN/PVG/SIN,PVG,SIN,PVG/SIN
SIN/TAO/SIN,TAO,SIN,TAO/SIN
SIN/MAA,SIN,MAA,SIN/MAA
SIN/CMB/DAC,SIN,CMB,SIN/CMB
SIN/CMB/DAC,CMB,DAC,CMB/DAC
SIN/CGO/SIN,CGO,SIN,CGO/SIN
SIN/HGH,SIN,HGH,SIN/HGH
SIN/FOC/SIN,FOC,SIN,FOC/SIN
SIN/KUL/DAC,SIN,KUL,SIN/KUL
SIN/KUL/DAC,KUL,DAC,KUL/DAC
SIN/HKG,SIN,HKG,SIN/HKG
SIN/HKT/SIN,SIN,HKT,SIN/HKT
SIN/HKT/SIN,HKT,SIN,HKT/SIN
SIN/TSN/SIN,TSN,SIN,TSN/SIN
SIN/BKK/SIN,SIN,BKK,SIN/BKK
SIN/BKK/SIN,BKK,SIN,BKK/SIN
SIN/DMK/SIN,SIN,DMK,SIN/DMK
SIN/DMK/SIN,DMK,SIN,DMK/SIN
SIN/CTU,SIN,CTU,SIN/CTU
SIN/AKL,SIN,AKL,SIN/AKL
SIN/PEK,SIN,PEK,SIN/PEK
SIN/MAA/DAC,MAA,DAC,MAA/DAC
SIN/TRZ/SIN,TRZ,SIN,TRZ/SIN
SIN/WUH,SIN,WUH,SIN/WUH
SIN/XIY,SIN,XIY,SIN/XIY
SIN/SGN/SIN,SIN,SGN,SIN/SGN
SIN/SGN/SIN,SGN,SIN,SGN/SIN
SIN/DPS/SIN,SIN,DPS,SIN/DPS
SIN/DPS/SIN,DPS,SIN,DPS/SIN
SIN/HGH/SIN,HGH,SIN,HGH/SIN
SIN/CAN/SIN,CAN,SIN,CAN/SIN
SIN/NNG,SIN,NNG,SIN/NNG
SIN/KUL/SIN,KUL,SIN,KUL/SIN
MAA/SIN,MAA,SIN,MAA/SIN
SIN/KMG,SIN,KMG,SIN/KMG
SIN/TNA/SIN,SIN,TNA,SIN/TNA
SIN/TNA/SIN,TNA,SIN,TNA/SIN
DAC/MAA/SIN,DAC,MAA,DAC/MAA
SIN/PVG/CGQ/PVG/SIN,PVG,CGQ,PVG/CGQ
SIN/PVG/CGQ/PVG/SIN,CGQ,PVG,CGQ/PVG
HKG/SIN,HKG,SIN,HKG/SIN
SIN/PEK/SIN,PEK,SIN,PEK/SIN
DLC/PEK/SIN,DLC,PEK,DLC/PEK
SIN/PEK/CGQ,PEK,CGQ,PEK/CGQ
SIN/CGK,SIN,CGK,SIN/CGK
SIN/PEK/SHE,PEK,SHE,PEK/SHE
SIN/XIY/SIN,XIY,SIN,XIY/SIN
KHN/CAN/SIN,KHN,CAN,KHN/CAN
SIN/CKG/SIN,CKG,SIN,CKG/SIN
SIN/PEK/CGQ/PEK/SIN,CGQ,PEK,CGQ/PEK
SIN/XMN/CGO,XMN,CGO,XMN/CGO
SIN/HKG/CKG,HKG,CKG,HKG/CKG
SIN/MAA/TRZ,MAA,TRZ,MAA/TRZ
SIN/DOH/LHR/DOH/SIN,SIN,DOH,SIN/DOH
SIN/DOH/LHR/DOH/SIN,DOH,LHR,DOH/LHR
SIN/DOH/LHR/DOH/SIN,LHR,DOH,LHR/DOH
SIN/DOH/LHR/DOH/SIN,DOH,SIN,DOH/SIN
HRB/PVG/SIN,HRB,PVG,HRB/PVG
SIN/YVR/SIN,SIN,YVR,SIN/YVR
SIN/YVR/SIN,YVR,SIN,YVR/SIN
SIN/CNX/SIN,SIN,CNX,SIN/CNX
SIN/CNX/SIN,CNX,SIN,CNX/SIN
SZX/SIN,SZX,SIN,SZX/SIN
SIN/CGK/SIN,CGK,SIN,CGK/SIN
RGN/SIN/RGN,RGN,SIN,RGN/SIN
SIN/TPE/SIN,SIN,TPE,SIN/TPE
SIN/TPE/SIN,TPE,SIN,TPE/SIN
SIN/XMN/DLC/XMN/SIN,XMN,DLC,XMN/DLC
SIN/XMN/DLC/XMN/SIN,DLC,XMN,DLC/XMN
SIN/XMN/WUH,XMN,WUH,XMN/WUH
