北京,PEK,ZBAA,北京首都国际机场,BEIJING
济南,TNA,ZSJN,济南遥墙国际机场,JINAN
汕头,SWA,ZGOW,汕头外砂国际机场,SHANTOU
义乌,YIW,ZSYW,义乌,YIWU
安庆,AQG,ZSAQ,安庆,ANQING
西双版纳,JHG,ZPJH,景洪,JINGHONG
通辽,TGO,ZBTL,通辽,TONGLIAO
吉隆坡,KUL,WMKK,吉隆坡,KUALALUMPUR
西昌,XIC,ZUXC,西昌青山机场,XICHANG
芝加哥,CHI,,芝加哥,CHICAGO
西雅图,SEA,KSEA,西雅图,SEATTLE
惠灵顿,WLG,NZWN,惠灵顿,WELLINGTON
伊斯兰堡,ISB,OPRN,伊斯兰堡,ISLAMABAD
日内瓦,GVA,LSGG,日内瓦,GENEVA
柏林,SXF,EDDB,柏林,BERLIN
冲绳,OKA,ROAH,冲绳,OKINAWA
新泻,KIJ,RJSN,新泻,NIIGATA
加尔各答,CCU,VECC,加尔各达苏巴斯德拉国际机场,CALCUTTA
北京南苑,NAY,ZBNY,北京南苑机场,NANYUAN
膳善,SXJ,ZWSS,,SHANSHAN
柏林,TXL,,柏林,BERLIN
蒙彼利埃,MPL,,蒙彼里埃,MONTPELLIER
纽伦堡,NUE,,纽伦堡,NUREMBERG
瓦伦西亚,VLC,,巴伦西亚,VALENCIA
哈拉雷,HRE,,哈拉雷,HARARE
克拉克,CRK,,克拉克,CLARKAIRBASE
阿拜昂环礁,ABF,,阿拜昂环礁,ABAIANGATOLL
阿卡普尔科,ACA,,阿卡普尔科,ACAPULCO
亚丁,ADE,,亚丁,ADEN
AEKGODANG,AEG,,,AEKGODANG
阿加迪尔,AGA,,阿加迪尔,AGADIR
阿卡里瓜,AGV,,阿卡里瓜,ACARIGUA
艾奥梅,AIE,,艾奥梅,AIOME
阿克茹特,AJJ,,阿克茹特,AKJOUJT
ASTRAKSETRAG,AKQ,,,ASTRAKSETRAGUNUNG
亚历山德拉,ALR,,亚历山德拉,ALEXANDRA
ALMAGRATIOT,AMN,,,ALMAGRATIOT
安杜洛,ANL,,安杜洛,ANDULO
ALTOONA,AOO,,,ALTOONA
APUCARANA,APU,,,APUCARANA
ARICA,ARI,,,ARICA
阿斯特拉罕,ASF,,阿斯特拉罕,ASTRAKHAN
ATOIFI,ATD,,,ATOIFI
ARUBA,AUA,,,ARUBA
阿内蒂乌姆,AUY,,岛,ANEITYUM
WESTMEMPHISM,AWM,,,WESTMEMPHISMUNICIPAL
AYAPEL,AYA,,,AYAPEL
KALAMAZOO,AZO,,,KALAMAZOO
巴拉莱,BAS,,巴拉莱,BALALAE
伯贝拉,BBO,,伯贝拉,BERBERA
BARCALDINE,BCI,,,BARCALDINE
BIRDIS.,BDI,,,BIRDIS.
BEDFORDHANSC,BED,,,BEDFORDHANSCOM
布卢姆菲尔德,BFC,,布卢姆菲尔德,BLOOMFIELD
BAINBRIDGEDE,BGE,,,BAINBRIDGEDECATUR
布拉加,BGZ,,布拉加,BRAGA
BRIGHTONDOWN,BHT,,,BRIGHTONDOWNS
BIARRITZ,BIQ,,,BIARRITZ
贝尔梅霍,BJO,,贝尔梅霍,BERMEJO
布莱克尔,BKQ,,布莱克尔,BLACKALL
BELMARMONMOU,BLM,,,BELMARMONMOUTH
巴拉米塔,BMJ,,巴拉米塔,BARAMITA
阿巴斯港,BND,,阿巴斯港,BANDARABBAS
班茨,BNZ,,班茨,BANZ
BETHPAGEGRUM,BPA,,,BETHPAGEGRUMMAN
布列斯特,BQT,,布列斯特,BREST
BATHURSTISLA,BRT,,,BATHURSTISLAND
博斯特,BST,,博斯特,BOST
BOTOPASIE,BTO,,,BOTOPASIE
BUTLER,BUM,,,BUTLER
维列纳,BVH,,维列纳,VILHENA
PENANG,BWH,,,PENANG
BLUELAGOON,BXL,,,BLUELAGOON
LAESOISLAND,BYR,,,LAESOISLAND
布拉柴维尔,BZV,,布拉柴维尔,BRAZZAVILLE
卡特岛,CAT,,卡特岛,CATISLAND
COTABATOAWAN,CBO,,,COTABATOAWANG
恰赫恰兰,CCN,,恰赫恰兰,CHAKCHARAN
CAMDENWOODWA,CDN,,,CAMDENWOODWARD
森特拉尔,CEM,,森特拉尔,CENTRAL
CONFREZA,CFO,,,CONFREZA
CHICAGOMEIGS,CGX,,,CHICAGOMEIGS
CHATHAMISLAN,CHT,,,CHATHAMISLANDKAREWA
SAULTSTE.MAR,CIU,,,SAULTSTE.MARIECHIPPE
CLARKSDALEFL,CKM,,,CLARKSDALEFLETCHER
CLARKSPOINT,CLP,,,CLARKSPOINT
CAMOOWEAL,CML,,,CAMOOWEAL
COGNAC,CNG,,,COGNAC
COOLIBAH,COB,,,COOLIBAH
CONGOTOWN,COX,,,CONGOTOWN
加来,CQF,,加来,CALAISMARCK
CORSICANA,CRS,,,CORSICANA
CASUARITO,CSR,,,CASUARITO
LECASTELLET,CTT,,,LECASTELLET
库拉索,CUR,,库拉索,CURACAO
卡那封,CVQ,,卡那封,CARNARVON
科尔德富特,CXF,,科尔德富特,COLDFOOT
甲描育,CYP,,甲描育,CALBAYOG
CARRIZOSPRIN,CZT,,,CARRIZOSPRINGS
德布拉马科斯,DBM,,德布拉马科斯,DEBRAMARCOS
DELTADOWNS,DDN,,,DELTADOWNS
DEGAHBUR,DGC,,,DEGAHBUR
DICKINSON,DIK,,,DICKINSON
敦刻尔克,DKK,,敦刻尔克,DUNKIRK
江布尔,DMB,,江布尔,DZHAMBUL
DINARDPLEURT,DNR,,,DINARDPLEURTUIT
多罗比索罗,DOO,,多罗比索罗,DOROBISORO
DRIETABBETJE,DRJ,,,DRIETABBETJE
SHREVEPORTDO,DTN,,,SHREVEPORTDOWNTOWN
苏阿拉拉,DWB,,苏阿拉拉,SOALALA
埃迈,EAE,,埃迈,EMAE
EASTTAWASIOS,ECA,,,EASTTAWASIOSCOCTY
伊克,EEK,,伊克,EEK
埃尔博尔松,EHL,,埃尔博尔松,ELBOLSON
EAGLELAKE,ELA,,,EAGLELAKE
埃尔芬考夫,ELV,,埃尔芬考夫,ELFINCOVE
埃尼亚巴,ENB,,埃尼亚巴,ENEABBA
NEOSHO,EOS,,,NEOSHO
EIRUNEPE,ERN,,,EIRUNEPE
ESPANOLA,ESO,,,ESPANOLA
EVADALELANDI,EVA,,,EVADALELANDING
约帕尔,EYP,,约帕尔,ELYOPAL
FAKARAVA,FAV,,,FAKARAVA
腓特烈斯港,FDH,,腓特烈斯港,FRIEDRICHSHAF
FDERIK,FGD,,,FDERIK
FRANKLINMUNI,FKN,,,FRANKLINMUNICIPAL
